Project ID,Project Name,Parent,Project Owner (Subsidiary),Sector,State,City,Project Status,Project Type,Construction Start Date,Expected Commissioning Date,Scope,Project Status Cleaned,Start Date Cleaned,Commissioning Date Cleaned
NTP-THM-001,"Telangana Super Thermal Power Project Stage-I (2×800 MW = 1,600 MW)",NTPC Limited,NTPC Ltd,Thermal,Telangana,Peddapalli District (near Ramagundam),Completed,Greenfield,2016-01-18,2023-09-05,"1,600 MW ultra-supercritical (USC) coal plant. Efficiency ~42%, reduced CO₂/kWh. 85% power allocated to Telangana state. Technology: USC boiler-turbine-generator.",Completed,2016-01-18,2023-09-05
NTP-THM-002,"Lara Super Thermal Power Project Stage-II (2×800 MW = 1,600 MW)",NTPC Limited,NTPC Ltd,Thermal,Chhattisgarh,Raigarh District (near Lara),Ongoing,Brownfield Expansion,2023-08-30,2028-01-01,"1,600 MW USC/USC+ expansion on Stage-I land. Full-scope EPC by BHEL (BTG + BoP). Designed for biomass co-firing and advanced emission controls. Investment: ₹15,529.99 Cr. Coal: Talaipalli block.",Ongoing,2023-08-30,2028-01-01
NTP-THM-003,"Talcher Thermal Power Project Stage-III (2×660 MW = 1,320 MW)",NTPC Limited,NTPC Ltd (Talcher Thermal),Thermal,Odisha,Angul District (Talcher),Ongoing,Brownfield Expansion,2022-09-27,2027-03-01,"1,320 MW supercritical coal expansion replacing old units. Full-scope EPC by BHEL (BTG + BoP). Board-approved capex: ~₹9,785 Cr.",Ongoing,2022-09-27,2027-03-01
NTP-THM-004,"North Karanpura Super Thermal Power Project (3×660 MW = 1,980 MW)",NTPC Limited,NTPC Ltd,Thermal,Jharkhand,Chatra District (North Karanpura),Completed,Greenfield,Not Disclosed (construction since early 2010s),2023-03-01,"1,980 MW supercritical coal plant. India's first large air-cooled condenser (ACC) — reduces water use to 1/3 of conventional plants. Pithead coal supply. Supports eastern regional grid.",Completed,,2023-03-01
NTP-SOL-001,"Khavda-I Solar PV Project (1,255 MW)",NTPC Limited,NTPC Renewable Energy Ltd (subsidiary of NTPC Green Energy Ltd),Solar,Gujarat,"Khavda, Kutch District",Ongoing,Greenfield,2025-06-05,2025-06-28,"1,255 MW ground-mounted solar PV under CPSU Phase-II Tranche-III (ISTS-connected). Developed by NTPC REL for self-use. Part of NGEL's 60 GW by 2032 target.",Ongoing,2025-06-05,2025-06-28
NTP-SOL-002,Nokh Solar PV Project (245 MW),NTPC Limited,NTPC Renewable Energy Ltd / NTPC Green Energy Ltd,Solar,Rajasthan,"Nokh, Jaisalmer District",Ongoing,Greenfield,2025-01-01,2025-01-01,245 MW solar PV under CPSU scheme. Feeds NTPC internal and ISTS demand. Contributes to NGEL's 32+ GW RE portfolio.,Ongoing,2025-01-01,2025-01-01
NTP-SOL-003,Chhattargarh Solar PV Project (150 MW),NTPC Limited,NTPC Renewable Energy Ltd (NTPC REL),Solar,Rajasthan,"Chhattargarh, Bikaner District",Completed,Greenfield,2024-04-01,2024-02-21,150 MW grid-connected solar PV. First operational project of NTPC REL. Part of NTPC REL's ~3.5 GW RE under execution as of 31-03-2024.,Completed,2024-04-01,2024-02-21
NTP-SOL-004,Kadapa Solar PV Project (250 MW),NTPC Limited,ONGC NTPC Green Pvt Ltd (JV of NTPC Green Energy Ltd & ONGC),Solar,Andhra Pradesh,Kadapa District,Completed,Greenfield,Not Disclosed (developed by Ayana Kadapa Renewable Power Pvt Ltd),2026-03-08,250 MW solar PV. Developed by Ayana Kadapa Renewable Power (ONGC-NTPC Green JV subsidiary). 25-year PPA with SECI at ₹2.71/kWh. Contributes ~9.3 GW NGEL installed RE capacity.,Completed,,2026-03-08
NTP-HYD-001,"Tehri Pumped Storage Plant (4×250 MW = 1,000 MW Variable-Speed PSP)",NTPC Limited,THDC India Ltd (NTPC subsidiary),Hydro,Uttarakhand,"Tehri Garhwal (Tehri & Koteshwar reservoirs, Bhagirathi River)",Completed,Brownfield Expansion,2011-01-01,2025-06-07,"India's first variable-speed PSP (4×250 MW). Uses Tehri HPP as upper and Koteshwar HEP as lower reservoir. Provides flexible peaking power and grid balancing. Project cost: ~₹8,339 Cr.",Completed,2011-01-01,2025-06-07
NTP-HYD-002,Vishnugad Pipalkoti Hydro Electric Project – VPHEP (4×111 MW = 444 MW),NTPC Limited,THDC India Ltd,Hydro,Uttarakhand,Chamoli District (Alaknanda River),Ongoing,Greenfield,2011-01-01,2024-10-01,"444 MW run-of-river HEP. 65 m diversion dam, 13.4 km headrace tunnel, underground powerhouse. Generates ~1,665 GWh/year for northern grid. ~40-50% physical progress. Partly financed by World Bank.",Ongoing,2011-01-01,2024-10-01
NTP-NUC-001,"Mahi Banswara Rajasthan Atomic Power Project – MBRAPP (4×700 MW = 2,800 MW PHWR)",NTPC Limited,ASHVINI – Anushakti Vidhyut Nigam Ltd (JV: NPCIL 51% + NTPC 49%),Nuclear,Rajasthan,Banswara District,Upcoming,Greenfield,2025-09-25,Not Disclosed (typical fleet-mode PHWR: ~6-7 years per twin-unit block; no binding COD published),"4×700 MW indigenous IPHWR-700 PHWR. Two phases: Units 1&2 and Units 3&4. Estimated cost: ~₹42,000 Cr. First nuclear project by two CPSEs via JV. India's fleet-mode nuclear expansion.",Upcoming,2025-09-25,
NTP-NUC-002,Chutka Madhya Pradesh Atomic Power Project (2×700 MW PHWR),NTPC Limited,ASHVINI – Anushakti Vidhyut Nigam Ltd (JV: NPCIL 51% + NTPC 49%),Nuclear,Madhya Pradesh,"Mandla District (Chutka Village, Narayanganj Tehsil)",Upcoming,Greenfield,2009-01-01,2031-01-01,"2×700 MW IPHWR-700 indigenous PHWR. Estimated cost: ~₹25,000 Cr. Part of fleet-mode nuclear expansion under ASHVINI JV alongside Mahi Banswara.",Upcoming,2009-01-01,2031-01-01
NTP-BES-001,Standalone BESS at Gadarwara & Solapur (250 MW / 500 MWh),NTPC Limited,NTPC Ltd (RE Division),Utilities,Madhya Pradesh & Maharashtra,"Gadarwara (Narsinghpur, MP) & Solapur (MH)",Upcoming,Greenfield,2024-06-13,Not Disclosed (commissioning post-tender award; ~12-year EPC + O&M term),"250 MW / 500 MWh grid-connected standalone BESS at two NTPC sites. Two 2-hour daily cycles, ≥80% round-trip efficiency. Supports Gadarwara solar plant (MP) and Solapur coal station (MH). Includes design, supply, grid integration, and long-term O&M.",Upcoming,2024-06-13,
NTP-BES-002,NTPC 4.7 GWh Battery Energy Storage System Program (Multi-Site),NTPC Limited,NTPC Ltd / NTPC Renewable Energy Ltd,Utilities,Multiple States,"Mouda, Kudgi, Ramagundam, Solapur, Barh, Nabinagar, Simhadri, Bikaner (Multiple Sites)",Upcoming,Greenfield,2026-04-01,Not Disclosed (staggered commissioning post-award at each site; 11-year O&M term),"Portfolio of utility-scale BESS totalling 4.7 GWh (~₹5,822 Cr capex). Winners include GR Infraprojects. Sites: Mouda, Kudgi, Ramagundam, Solapur, Barh, Nabinagar, Simhadri + 250 MW/1,000 MWh at Bikaner RE. Firms RE output and provides peak/ancillary grid services.",Upcoming,2026-04-01,
ADN-UTL-001,Khavda Renewable Energy Park (30 GW),Adani Group,Adani Green Energy Ltd (AGEL),Utilities,Gujarat,"Khavda, Kutch",Ongoing,Greenfield,2020-12-01,2030-01-01,"30 GW solar + wind RE park. World's largest single-site RE park. EPC: SWREL, Bondada Engineering, KPI Green. ₹1,50,000 Cr committed.",Ongoing,2020-12-01,2030-01-01
ADN-UTL-002,"Khavda BESS Deployment (1,376 MWh)",Adani Group,Adani Green Energy Ltd (AGEL),Utilities,Gujarat,"Khavda, Kutch",Completed,Capacity Addition,2025-01-01,2026-04-01,"1,376 MWh BESS deployed at Khavda RE Park to support grid stability. EPC: Adani Green Energy.",Completed,2025-01-01,2026-04-01
ADN-UTL-003,"Panaura Pumped Hydro Storage (1,250 MW)",Adani Group,Adani Green Energy Ltd (AGEL) / Adani Saur Urja,Utilities,Uttar Pradesh,Sonbhadra District,Ongoing,Greenfield,2025-01-01,2031-01-01,"1,250 MW pumped storage hydro awarded by UPPCL. 40-year commitment, 6-year execution timeline. Pre-construction/planning stage.",Ongoing,2025-01-01,2031-01-01
ADN-UTL-004,"Gandikota Pumped Hydro (1,800 MW)",Adani Group,Adani Green Energy Ltd (AGEL),Utilities,Andhra Pradesh,YSR Kadapa District,Ongoing,Greenfield,2025-01-01,2030-01-01,"1,800 MW pumped hydro. ANDRITZ awarded electromechanical package Q2 2025. Civil works not yet started.",Ongoing,2025-01-01,2030-01-01
ADN-UTL-005,Mahan Super Thermal Power Expansion (2×800 MW),Adani Group,Adani Power Ltd / Mahan Energen Ltd,Utilities,Madhya Pradesh,"Bandhaura, Singrauli District",Ongoing,Brownfield Expansion,2025-01-01,2029-04-01,"1,600 MW ultra-supercritical brownfield expansion at existing 1,200 MW Mahan plant. Part of ₹1,20,000 Cr capex plan.",Ongoing,2025-01-01,2029-04-01
ADN-UTL-006,Pirpainti Thermal Power Plant (3×800 MW),Adani Group,Adani Power Ltd,Utilities,Bihar,"Pirpainti, Bhagalpur District",Ongoing,Greenfield,2026-03-01,First unit ~48 months; full plant ~60 months from appointed date,"2,400 MW greenfield USCTPP for Bihar DISCOMs. EPC: BTL EPC Ltd. PSA signed 13-Sep-2025. Investment ~₹590 Cr (BTL package). Total ~₹26,482 Cr project.",Ongoing,2026-03-01,
ADN-OG-001,Pan-India CNG & PNG Infrastructure Expansion,Adani Group,Adani Total Gas Ltd (ATGL),Oil & Gas,Multiple (13 States),Multiple Cities / Geographical Areas,Ongoing,Capacity Addition,2024-12-01,2031-01-01,"Expansion of CNG stations and PNG pipeline networks across 50+ GAs in 13 states. Investment ₹16,000 Cr over 7 years. 600+ CNG stations already operational.",Ongoing,2024-12-01,2031-01-01
ADN-MIN-001,Suliyari Coal Mine Expansion (7 MTPA),Adani Group,Adani Enterprises Ltd (MDO),Mining,Madhya Pradesh,Singrauli District,Ongoing,Expansion,2021-01-01,Ongoing Extraction,7 MTPA captive coal mine under Adani as MDO. Project value ₹386.20 Cr. Operational and in extraction phase.,Ongoing,2021-01-01,
ADN-MIN-002,Badam Coal Mine (MDO),Adani Group,Adani Enterprises Ltd (MDO),Mining,Jharkhand,Hazaribagh District,Completed,Greenfield,2024-01-01,2025-02-01,Coal mine developed by Adani Enterprises as MDO. Commissioned Feb 2025.,Completed,2024-01-01,2025-02-01
ADN-DC-001,Navi Mumbai Hyperscale Data Centre (1 GW),Adani Group,Adani Enterprises Ltd / AdaniConneX JV,Data Centres,Maharashtra,Navi Mumbai,Upcoming,Greenfield,Not Disclosed,2026-12-01,"1 GW hyperscale DC infrastructure. MoU signed Jan 2024 (WEF Davos) with Maharashtra Govt. Investment ₹50,000 Cr over 10 years.",Upcoming,,2026-12-01
ADN-DC-002,Pune Data Centre (250 MW),Adani Group,Adani Enterprises Ltd / AdaniConneX JV,Data Centres,Maharashtra,Pune,Ongoing,Greenfield,Not Disclosed,2025-01-01,250 MW data centre campus in Pune. Part of Maharashtra 1 GW DC program under MoU Jan 2024.,Ongoing,,2025-01-01
ADN-DC-003,Hyderabad Data Centre (600 MW),Adani Group,Adani Enterprises Ltd / AdaniConneX JV,Data Centres,Telangana,Hyderabad,Ongoing,Greenfield,Not Disclosed,2024-10-01,600 MW hyperscale data centre. Phase 1 commissioned Oct 2024. AdaniConneX JV development.,Ongoing,,2024-10-01
ADN-DC-004,Visakhapatnam AI Data Centre Campus,Adani Group,Adani Enterprises Ltd / AdaniConneX JV,Data Centres,Andhra Pradesh,Visakhapatnam,Upcoming,Greenfield,2026-01-01,2030-01-01,"India's largest AI-oriented DC campus. Adani-Google partnership announced Oct 2025. Part of ~US$15 Bn (~₹1,25,000 Cr) multi-year India investment.",Upcoming,2026-01-01,2030-01-01
